Bill No,Doc. Date,Vou No,Bill Date,Party Name,State,City Name,Product Name (Overwrite),category,HSN Code,Packing,Qty,Purchase Rate,Purchase Amt,CGST Amount,SGST Amount,IGST Amount,Total Amount,Category
WMPL/MFG/0555,22-10-2020,  PW/04,24-10-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,SUPREME ADULT DIAPER(M)       10 PIECE,,9619,10 PIECE,960,180,172800,10368,10368,,193536,SURGICAL
WMPL/MFG/702,28-11-2020,  PW/296,30-11-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,SUPREME ADULT DIAPER(M)       10 PIECE,,9619,10 PIECE,720,180,129600,7776,7776,,145152,SURGICAL
WMPL/MFG/702,28-11-2020,  PW/296,30-11-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,SUPREME ADULT DIAPER(M)       10 PIECE,,9619,10 PIECE,,,0,,,,0,SURGICAL
WMPL/MFG/795,11-12-2020,  PW/300,12-12-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,SUPREME ADULT DIAPER(M)       10 PIECE,,9619,10 PIECE,720,180,129600,7776,7776,,145152,SURGICAL
WMPL/MFG/795,11-12-2020,  PW/300,12-12-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,SUPREME ADULT DIAPER(M)       10 PIECE,,9619,10 PIECE,,,0,,,,0,SURGICAL
WMPL/MFG/1002,29-01-2021,  PW/730,30-01-2021,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,SUPREME ADULT DIAPER(M)       10 PIECE,,9619,10 PIECE,576,180,103680,6220.8,6220.8,,116121.6,SURGICAL
S-438,22-10-2020,  PW/11,24-10-2020,MATOSHREE PHARMACEUTICALS,Maharashtra,Sangli City S.O-Miraj,THALIX-100 CAP                10 CAP,,30049049,10 CAP,12,218.75,2625,157.5,157.5,,2940,A TO Z
S-652,13-01-2021,  PW/558,13-01-2021,MATOSHREE PHARMACEUTICALS,Maharashtra,Sangli City S.O-Miraj,THALIX-100 CAP                10 CAP,,30049049,10 CAP,12,214.28,2571.36,154.28,154.28,,2879.92,A TO Z
WMPL/MFG/0554,22-10-2020,  PW/12,24-10-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,WETEX PULLUP PANT(L)          10 PIECE,,9619,10 PIECE,200,270,54000,3240,3240,,60480,SURGICAL
WMPL/MFG/0556,24-10-2020,  PW/05,24-10-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,WETEX PULLUP PANT(L)          10 PIECE,,9619,10 PIECE,400,270,108000,6480,6480,,120960,SURGICAL
WMPL/MFG/1005,29-01-2021,  PW/764,30-01-2021,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,WETEX PULLUP PANT(L)          10 PIECE,,9619,10 PIECE,200,280,56000,3360,3360,,62720,SURGICAL
SB-9619,23-10-2020,  PW/13,24-10-2020,MAHAVEER PHARMACEUTICALS,Maharashtra,Madhavnagar S.O-Miraj,H2O2 100ML SOLU               100ML,,2847,100ML,432,7,3024,272.16,272.16,,3568.32,COUNTER
SB-12320,02-01-2021,  PW/487,04-01-2021,MAHAVEER PHARMACEUTICALS,Maharashtra,Madhavnagar S.O-Miraj,H2O2 100ML SOLU               100ML,,2847,100ML,216,7.5,1620,145.8,145.8,,1911.6,COUNTER
SB-15394,26-03-2021,  PW/1113,26-03-2021,MAHAVEER PHARMACEUTICALS,Maharashtra,Madhavnagar S.O-Miraj,H2O2 100ML SOLU               100ML,,2847,100ML,720,7.5,5400,486,486,,6372,COUNTER
SB-9619,23-10-2020,  PW/13,24-10-2020,MAHAVEER PHARMACEUTICALS,Maharashtra,Madhavnagar S.O-Miraj,H2O2 450ML                    450ML,,2847,450ML,280,16.5,4620,415.8,415.8,,5451.6,COUNTER
SB-9620,23-10-2020,  PW/14,24-10-2020,MAHAVEER PHARMACEUTICALS,Maharashtra,Madhavnagar S.O-Miraj,CLINCITOP GEL                 20GM,,3004,20GM,480,25,12000,300,300,,12600,COUNTER
SB-12318,02-01-2021,  PW/486,04-01-2021,MAHAVEER PHARMACEUTICALS,Maharashtra,Madhavnagar S.O-Miraj,CLINCITOP GEL                 20GM,,3004,20GM,480,25,12000,300,300,,12600,COUNTER
SB-13120,25-01-2021,  PW/665,28-01-2021,MAHAVEER PHARMACEUTICALS,Maharashtra,Madhavnagar S.O-Miraj,CLINCITOP GEL                 20GM,,3004,20GM,480,25,12000,300,300,,12600,COUNTER
SB-13624,06-02-2021,  PW/765,09-02-2021,MAHAVEER PHARMACEUTICALS,Maharashtra,Madhavnagar S.O-Miraj,CLINCITOP GEL                 20GM,,3004,20GM,480,25,12000,300,300,,12600,COUNTER
SB-9620,23-10-2020,  PW/14,24-10-2020,MAHAVEER PHARMACEUTICALS,Maharashtra,Madhavnagar S.O-Miraj,CLOZOTIC EAR DROP             5 ML,,3004,5 ML,1200,10,12000,720,720,,13440,E/E DROP
PH/9716,19-12-2020,  PW/364,19-12-2020,PHARMA HUB,Maharashtra,Vasai East IE S.O-Vasai,CLOZOTIC EAR DROP             5 ML,,3004,5 ML,600,9.5,5700,328.32,328.32,,6356.64,E/E DROP
SB-12318,02-01-2021,  PW/486,04-01-2021,MAHAVEER PHARMACEUTICALS,Maharashtra,Madhavnagar S.O-Miraj,CLOZOTIC EAR DROP             5 ML,,3004,5 ML,800,10,8000,480,480,,8960,E/E DROP
SB-14745,06-03-2021,  PW/986,06-03-2021,MAHAVEER PHARMACEUTICALS,Maharashtra,Madhavnagar S.O-Miraj,CLOZOTIC EAR DROP             5 ML,,3004,5 ML,650,10,6500,390,390,,7280,E/E DROP
SB-14969,13-03-2021,  PW/1045,13-03-2021,MAHAVEER PHARMACEUTICALS,Maharashtra,Madhavnagar S.O-Miraj,CLOZOTIC EAR DROP             5 ML,,3004,5 ML,350,10,3500,210,210,,3920,E/E DROP
PH/7400,22-10-2020,  PW/15,24-10-2020,PHARMA HUB,Maharashtra,Vasai East IE S.O-Vasai,PREDNISOLONE 5MG              10 TAB,,3004,10 TAB,2560,4.7,12032,721.92,721.92,,13475.84,A TO Z
PH/7829,03-11-2020,  PW/73,04-11-2020,PHARMA HUB,Maharashtra,Vasai East IE S.O-Vasai,PREDNISOLONE 5MG              10 TAB,,3004,10 TAB,1280,4.7,6016,360.96,360.96,,6737.92,A TO Z
PH/8455,19-11-2020,  PW/163,21-11-2020,PHARMA HUB,Maharashtra,Vasai East IE S.O-Vasai,PREDNISOLONE 5MG              10 TAB,,3004,10 TAB,1280,4.7,6016,360.96,360.96,,6737.92,A TO Z
PH/9259,08-12-2020,  PW/271,09-12-2020,PHARMA HUB,Maharashtra,Vasai East IE S.O-Vasai,PREDNISOLONE 5MG              10 TAB,,3004,10 TAB,1280,4.7,6016,360.96,360.96,,6737.92,A TO Z
PH/9906,24-12-2020,  PW/407,25-12-2020,PHARMA HUB,Maharashtra,Vasai East IE S.O-Vasai,PREDNISOLONE 5MG              10 TAB,,3004,10 TAB,2560,4.7,12032,721.92,721.92,,13475.84,A TO Z
PH/10014,28-12-2020,  PW/432,28-12-2020,PHARMA HUB,Maharashtra,Vasai East IE S.O-Vasai,PREDNISOLONE 5MG              10 TAB,,3004,10 TAB,1280,4.7,6016,360.96,360.96,,6737.92,A TO Z
PH/12279,02-02-2021,  PW/680,02-02-2021,PHARMA HUB,Maharashtra,Vasai East IE S.O-Vasai,PREDNISOLONE 5MG              10 TAB,,3004,10 TAB,1280,4.7,6016,360.96,360.96,,6737.92,A TO Z
PH/1909,09-02-2021,  PW/774,09-02-2021,PHARMA HUB,Maharashtra,Vasai East IE S.O-Vasai,PREDNISOLONE 5MG              10 TAB,,3004,10 TAB,5120,4.7,24064,1443.84,1443.84,,26951.68,A TO Z
PH/13414,16-02-2021,  PW/847,16-02-2021,PHARMA HUB,Maharashtra,Vasai East IE S.O-Vasai,PREDNISOLONE 5MG              10 TAB,,3004,10 TAB,2640,4.7,12408,744.48,744.48,,13896.96,A TO Z
PV/4266,22-10-2020,  PW/16,24-10-2020,PREVEGO HEALTHCARE & RESEARCHPVT LTD,Maharashtra,Vasai East IE S.O-Vasai,CLOTIVAG SOAP                 75 GM,,17023031,75 GM,200,17.43,3486,313.74,313.74,,4113.48,COUNTER
PV/5761,02-01-2021,  PW/465,02-01-2021,PREVEGO HEALTHCARE & RESEARCHPVT LTD,Maharashtra,Vasai East IE S.O-Vasai,CLOTIVAG SOAP                 75 GM,,17023031,75 GM,100,17.43,1743,156.87,156.87,,2056.74,COUNTER
PV/6761,09-02-2021,  PW/773,09-02-2021,PREVEGO HEALTHCARE & RESEARCHPVT LTD,Maharashtra,Vasai East IE S.O-Vasai,CLOTIVAG SOAP                 75 GM,,17023031,75 GM,100,18.75,1875,168.75,168.75,,2212.5,COUNTER
PV/7196,02-03-2021,  PW/936,02-03-2021,PREVEGO HEALTHCARE & RESEARCHPVT LTD,Maharashtra,Vasai East IE S.O-Vasai,CLOTIVAG SOAP                 75 GM,,17023031,75 GM,200,18.75,3750,337.5,337.5,,4425,COUNTER
H/6208,22-10-2020,  PW/17,24-10-2020,LAXMI HOSPICARE LLP,Maharashtra,Vasai East IE S.O-Vasai,RESPINOL-4                    10 TAB,,30049099,10 TAB,190,8.1,1539,83.11,83.11,,1705.22,A TO Z
H/6580,04-11-2020,  PW/70,04-11-2020,LAXMI HOSPICARE LLP,Maharashtra,Vasai East IE S.O-Vasai,RESPINOL-4                    10 TAB,,30049099,10 TAB,300,8.1,2430,131.22,131.22,,2692.44,A TO Z
H/6736,07-11-2020,  PW/121,09-11-2020,LAXMI HOSPICARE LLP,Maharashtra,Vasai East IE S.O-Vasai,RESPINOL-4                    10 TAB,,30049099,10 TAB,450,8.1,3645,196.83,196.83,,4038.66,A TO Z
H/12357,02-02-2021,  PW/681,02-02-2021,LAXMI HOSPICARE LLP,Maharashtra,Vasai East IE S.O-Vasai,RESPINOL-4                    10 TAB,,30049099,10 TAB,300,8.1,2430,131.22,131.22,,2692.44,A TO Z
H/12927,09-02-2021,  PW/771,09-02-2021,LAXMI HOSPICARE LLP,Maharashtra,Vasai East IE S.O-Vasai,RESPINOL-4                    10 TAB,,30049099,10 TAB,200,8.1,1620,87.48,87.48,,1794.96,A TO Z
H/6208,22-10-2020,  PW/17,24-10-2020,LAXMI HOSPICARE LLP,Maharashtra,Vasai East IE S.O-Vasai,TERBIFON-500TAB               7 TAB,,30049029,7 TAB,500,68.4,34200,1846.8,1846.8,,37893.6,A TO Z
H/6580,04-11-2020,  PW/70,04-11-2020,LAXMI HOSPICARE LLP,Maharashtra,Vasai East IE S.O-Vasai,TERBIFON-500TAB               7 TAB,,30049029,7 TAB,10,68.4,684,36.94,36.94,,757.88,A TO Z
H/6580,04-11-2020,  PW/70,04-11-2020,LAXMI HOSPICARE LLP,Maharashtra,Vasai East IE S.O-Vasai,TERBIFON-500TAB               7 TAB,,30049029,7 TAB,730,68.4,49932,2696.33,2696.33,,55324.66,A TO Z
H/6580,04-11-2020,  PW/70,04-11-2020,LAXMI HOSPICARE LLP,Maharashtra,Vasai East IE S.O-Vasai,TERBIFON-500TAB               7 TAB,,30049029,7 TAB,260,68.4,17784,960.34,960.34,,19704.68,A TO Z
H/12412,03-02-2021,  PW/706,03-02-2021,LAXMI HOSPICARE LLP,Maharashtra,Vasai East IE S.O-Vasai,TERBIFON-500TAB               7 TAB,,30049029,7 TAB,500,68.4,34200,1846.8,1846.8,,37893.6,A TO Z
H/15307,09-03-2021,  PW/1022,10-03-2021,LAXMI HOSPICARE LLP,Maharashtra,Vasai East IE S.O-Vasai,TERBIFON-500TAB               7 TAB,,30049029,7 TAB,500,68.4,34200,1846.8,1846.8,,37893.6,A TO Z
H/15863,16-03-2021,  PW/1071,17-03-2021,LAXMI HOSPICARE LLP,Maharashtra,Vasai East IE S.O-Vasai,TERBIFON-500TAB               7 TAB,,30049029,7 TAB,740,68.4,50616,2733.26,2733.26,,56082.52,A TO Z
MP-01017,23-10-2020,  PW/18,24-10-2020,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,PREGODD-NTM TAB               10 TAB,,3004,10 TAB,1800,23.8,42840,2570.4,2570.4,,47980.8,A TO Z
MP-01018,23-10-2020,  PW/19,24-10-2020,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,PREGODD-NTM TAB               10 TAB,,3004,10 TAB,1800,23.8,42840,2570.4,2570.4,,47980.8,A TO Z
MP-01274,11-12-2020,  PW/298,12-12-2020,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,PREGODD-NTM TAB               10 TAB,,3004,10 TAB,1560,23.8,37128,2227.68,2227.68,,41583.36,A TO Z
MP-01324,18-12-2020,  PW/356,19-12-2020,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,PREGODD-NTM TAB               10 TAB,,3004,10 TAB,1800,23.8,42840,2570.4,2570.4,,47980.8,A TO Z
MP-01503,19-01-2021,  PW/602,19-01-2021,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,PREGODD-NTM TAB               10 TAB,,3004,10 TAB,1000,23.8,23800,1428,1428,,26656,A TO Z
MP-01021,24-10-2020,  PW/21,24-10-2020,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,BISOFORD 2.5/6.25H TAB        10 TAB,,3004,10 TAB,200,7.14,1428,85.68,85.68,,1599.36,CARDIAC
MP-01605,06-02-2021,  PW/743,06-02-2021,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,BISOFORD 2.5/6.25H TAB        10 TAB,,3004,10 TAB,500,7.14,3570,214.2,214.2,,3998.4,CARDIAC
MP-01790,05-03-2021,  PW/978,05-03-2021,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,BISOFORD 2.5/6.25H TAB        10 TAB,,3004,10 TAB,300,7.14,2142,128.52,128.52,,2399.04,CARDIAC
MP-01022,24-10-2020,  PW/20,24-10-2020,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,PAROKIN-25SR TAB              10TAB,,3004,10TAB,200,19.25,3850,231,231,,4312,A TO Z
MP-01274,11-12-2020,  PW/298,12-12-2020,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,PAROKIN-25SR TAB              10TAB,,3004,10TAB,200,19.25,3850,231,231,,4312,A TO Z
MP-01503,19-01-2021,  PW/602,19-01-2021,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,PAROKIN-25SR TAB              10TAB,,3004,10TAB,200,19.25,3850,231,231,,4312,A TO Z
MP-01580,03-02-2021,  PW/701,03-02-2021,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,PAROKIN-25SR TAB              10TAB,,3004,10TAB,500,19.25,9625,577.5,577.5,,10780,A TO Z
MP-01022,24-10-2020,  PW/20,24-10-2020,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,ROSMOXCLAV 625 TAB            6 TAB,,3004,6 TAB,7200,30.5,219600,13176,13176,,245952,ANTIBIOTIC
MP-01331,19-12-2020,  PW/360,19-12-2020,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,ROSMOXCLAV 625 TAB            6 TAB,,3004,6 TAB,6400,30.5,195200,11712,11712,,218624,ANTIBIOTIC
MP-01330,19-12-2020,  PW/361,19-12-2020,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,ROSMOXCLAV 625 TAB            6 TAB,,3004,6 TAB,6400,30.5,195200,11712,11712,,218624,ANTIBIOTIC
MP-01618,08-02-2021,  PW/762,08-02-2021,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,ROSMOXCLAV 625 TAB            6 TAB,,3004,6 TAB,6400,30.5,195200,11712,11712,,218624,ANTIBIOTIC
MP-01619,08-02-2021,  PW/760,08-02-2021,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,ROSMOXCLAV 625 TAB            6 TAB,,3004,6 TAB,7040,30.5,214720,12883.2,12883.2,,240486.4,ANTIBIOTIC
MP-01791,05-03-2021,  PW/975,05-03-2021,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,ROSMOXCLAV 625 TAB            6 TAB,,3004,6 TAB,6000,30.5,183000,10980,10980,,204960,ANTIBIOTIC
MP-01791,05-03-2021,  PW/975,05-03-2021,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,ROSMOXCLAV 625 TAB            6 TAB,,3004,6 TAB,400,30.5,12200,732,732,,13664,ANTIBIOTIC
MP-01811,09-03-2021,  PW/1008,09-03-2021,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,ROSMOXCLAV 625 TAB            6 TAB,,3004,6 TAB,3160,30.5,96380,5782.8,5782.8,,107945.6,ANTIBIOTIC
MP-01874,22-03-2021,  PW/1095,22-03-2021,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,ROSMOXCLAV 625 TAB            6 TAB,,3004,6 TAB,2840,30.5,86620,5197.2,5197.2,,97014.4,ANTIBIOTIC
MP-01023,24-10-2020,  PW/23,24-10-2020,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,PRAROS 10 TAB                 10 TAB,,3004,10 TAB,5000,3.35,16750,1005,1005,,18760,A TO Z
MP-01024,24-10-2020,  PW/22,24-10-2020,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,PRAROS 10 TAB                 10 TAB,,3004,10 TAB,2000,3.35,6700,402,402,,7504,A TO Z
MP-01685,16-02-2021,  PW/838,16-02-2021,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,PRAROS 10 TAB                 10 TAB,,3004,10 TAB,2000,3.35,6700,402,402,,7504,A TO Z
MP-01792,05-03-2021,  PW/979,05-03-2021,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,PRAROS 10 TAB                 10 TAB,,3004,10 TAB,2000,3.35,6700,402,402,,7504,A TO Z
MP-01023,24-10-2020,  PW/23,24-10-2020,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,ZINCOPRIT-LS SYP              200ML,,21069099,200ML,1400,17.25,24150,2173.5,2173.5,,28497,SUPPLEMENT
MP-01024,24-10-2020,  PW/22,24-10-2020,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,ZINCOPRIT-LS SYP              200ML,,21069099,200ML,700,17.25,12075,1086.75,1086.75,,14248.5,SUPPLEMENT
MP-01104,07-11-2020,  PW/93,07-11-2020,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,ZINCOPRIT-LS SYP              200ML,,21069099,200ML,1400,17.25,24150,2173.5,2173.5,,28497,SUPPLEMENT
MP-01103,06-11-2020,  PW/92,07-11-2020,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,ZINCOPRIT-LS SYP              200ML,,21069099,200ML,1400,17.25,24150,2173.5,2173.5,,28497,SUPPLEMENT
MP-01370,26-12-2020,  PW/416,26-12-2020,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,ZINCOPRIT-LS SYP              200ML,,21069099,200ML,1400,17.25,24150,2173.5,2173.5,,28497,SUPPLEMENT
MP-01776,04-03-2021,  PW/966,04-03-2021,MANIBHADRA PHARMA,Maharashtra,Dandekarwadi S.O-Bhiwandi,ZINCOPRIT-LS SYP              200ML,,21069099,200ML,1400,17.25,24150,2173.5,2173.5,,28497,SUPPLEMENT
MSM-9812,23-10-2020,  PW/02,24-10-2020,MAHAVEER SURGICAL,Maharashtra,Sangli H.O-Miraj,SATNAM LS PRM LARGE           PIECE,,90211000,PIECE,150,202,30300,757.5,757.5,,31815,SURGICAL
MSM-9813,23-10-2020,  PW/34,28-10-2020,MAHAVEER SURGICAL,Maharashtra,Sangli H.O-Miraj,SATNAM LS PRM LARGE           PIECE,,90211000,PIECE,50,202,10100,252.5,252.5,,10605,SURGICAL
MSM-11325,01-12-2020,  PW/257,07-12-2020,MAHAVEER SURGICAL,Maharashtra,Sangli H.O-Miraj,SATNAM LS PRM LARGE           PIECE,,90211000,PIECE,100,202,20200,505,505,,21210,SURGICAL
MSM-12653,04-01-2021,  PW/504,05-01-2021,MAHAVEER SURGICAL,Maharashtra,Sangli H.O-Miraj,SATNAM LS PRM LARGE           PIECE,,90211000,PIECE,50,202,10100,252.5,252.5,,10605,SURGICAL
MSM-13451,25-01-2021,  PW/668,28-01-2021,MAHAVEER SURGICAL,Maharashtra,Sangli H.O-Miraj,SATNAM LS PRM LARGE           PIECE,,90211000,PIECE,30,202,6060,151.5,151.5,,6363,SURGICAL
MSM-14270,15-02-2021,  PW/860,17-02-2021,MAHAVEER SURGICAL,Maharashtra,Sangli H.O-Miraj,SATNAM LS PRM LARGE           PIECE,,90211000,PIECE,120,205,24600,615,615,,25830,SURGICAL
MSM-9812,23-10-2020,  PW/02,24-10-2020,MAHAVEER SURGICAL,Maharashtra,Sangli H.O-Miraj,SATNAM LS PRM MED             PIECE,,90211000,PIECE,150,202,30300,757.5,757.5,,31815,SURGICAL
MSM-9813,23-10-2020,  PW/34,28-10-2020,MAHAVEER SURGICAL,Maharashtra,Sangli H.O-Miraj,SATNAM LS PRM MED             PIECE,,90211000,PIECE,50,202,10100,252.5,252.5,,10605,SURGICAL
MSM-11325,01-12-2020,  PW/257,07-12-2020,MAHAVEER SURGICAL,Maharashtra,Sangli H.O-Miraj,SATNAM LS PRM MED             PIECE,,90211000,PIECE,100,202,20200,505,505,,21210,SURGICAL
MSM-12653,04-01-2021,  PW/504,05-01-2021,MAHAVEER SURGICAL,Maharashtra,Sangli H.O-Miraj,SATNAM LS PRM MED             PIECE,,90211000,PIECE,30,202,6060,151.5,151.5,,6363,SURGICAL
MSM-14270,15-02-2021,  PW/860,17-02-2021,MAHAVEER SURGICAL,Maharashtra,Sangli H.O-Miraj,SATNAM LS PRM MED             PIECE,,90211000,PIECE,150,205,30750,768.75,768.75,,32287.5,SURGICAL
MSM-9812,23-10-2020,  PW/02,24-10-2020,MAHAVEER SURGICAL,Maharashtra,Sangli H.O-Miraj,SATNAM LS PRM XL              PIECE,,90211000,PIECE,50,202,10100,252.5,252.5,,10605,SURGICAL
MSM-9813,23-10-2020,  PW/34,28-10-2020,MAHAVEER SURGICAL,Maharashtra,Sangli H.O-Miraj,SATNAM LS PRM XL              PIECE,,90211000,PIECE,50,202,10100,252.5,252.5,,10605,SURGICAL
MSM-11325,01-12-2020,  PW/257,07-12-2020,MAHAVEER SURGICAL,Maharashtra,Sangli H.O-Miraj,SATNAM LS PRM XL              PIECE,,90211000,PIECE,50,202,10100,252.5,252.5,,10605,SURGICAL
MSM-12653,04-01-2021,  PW/504,05-01-2021,MAHAVEER SURGICAL,Maharashtra,Sangli H.O-Miraj,SATNAM LS PRM XL              PIECE,,90211000,PIECE,40,202,8080,202,202,,8484,SURGICAL
MSM-14270,15-02-2021,  PW/860,17-02-2021,MAHAVEER SURGICAL,Maharashtra,Sangli H.O-Miraj,SATNAM LS PRM XL              PIECE,,90211000,PIECE,80,205,16400,410,410,,17220,SURGICAL
WMPL/MFG/0556,24-10-2020,  PW/05,24-10-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,WETEX PULLUP PANT(M)          10 PIECE,,9619,10 PIECE,400,260,104000,6240,6240,,116480,SURGICAL
WWPL/MFG/688,26-11-2020,  PW/206,28-11-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,WETEX PULLUP PANT(M)          10 PIECE,,9619,10 PIECE,20,260,5200,312,312,,5824,SURGICAL
WMPL/MFG/1005,29-01-2021,  PW/764,30-01-2021,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,WETEX PULLUP PANT(M)          10 PIECE,,9619,10 PIECE,200,270,54000,3240,3240,,60480,SURGICAL
WMPL/MFG/0557,22-10-2020,  PW/06,24-10-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,BABY DIAPER 10(NB)            10,,9619,10,135,64,8640,518.4,518.4,,9676.8,SURGICAL
WMPL/MFG/1003,29-01-2021,  PW/731,30-01-2021,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,BABY DIAPER 10(NB)            10,,9619,10,270,64,17280,1036.8,1036.8,,19353.6,SURGICAL
